policy,cluster,design,get_mean,get_p50,get_p99,set_mean,set_p50,objects,miss_exact,get_count,set_count,wall_s,promotions,demotions,fast_obj,slow_obj
s3-fifo-ghost-hybrid-0.1,13,hybrid,1748,282,25400,4663,1163,2105544,0.4797238091006834,78600763,72474309,828.298,52875103,52264909,610194,1495350
s3-fifo-ghost-lazy-demotion-compact-hybrid-0.1,13,hybrid,1581,277,21839,4317,1130,2054257,0.47972309422430726,78600871,72474201,752.886,36265261,35694118,571143,1483114
s3-fifo-ghost-lazy-demotion-fast-admission-compact-hybrid-0.1,13,hybrid,1149,268,12539,3873,910,2048560,0.4797230809858558,78600873,72474199,644.644,188,35861488,553954,1494606
s3-fifo-ghost-lazy-demotion-fast-admission-hybrid-0.1,13,hybrid,1129,270,12429,3751,870,2034230,0.47972374290842634,78600773,72474299,640.568,193,35870663,530809,1503421
s3-fifo-ghost-lazy-demotion-fast-admission-midpoint-compact-hybrid-0.1,13,hybrid,1163,279,12601,3907,905,2048757,0.47972308760508153,78600872,72474200,646.62,196,35861915,553519,1495238
s3-fifo-ghost-lazy-demotion-fast-admission-midpoint-hybrid-0.1,13,hybrid,1130,267,12495,3729,854,2034142,0.47972374290842634,78600773,72474299,632.367,197,35870234,531293,1502849
s3-fifo-ghost-lazy-demotion-hybrid-0.1,13,hybrid,1576,279,22093,4215,1088,2040471,0.47972375614687773,78600771,72474301,746.891,36265264,35693066,572198,1468273
s3-fifo-hybrid-0.1,13,hybrid,1761,291,25564,4634,1144,2105717,0.4797238951506176,78600750,72474322,822.347,52874078,52266493,607585,1498132
s3-fifo-lazy-demotion-fast-admission-midpoint-reprieve-compact-hybrid-0.1,13,hybrid,1230,282,14048,4125,921,1969065,0.47971718325575247,78601764,72473308,685.753,1079,71916166,558221,1410844
s3-fifo-lazy-demotion-fast-admission-midpoint-reprieve-hybrid-0.1,13,hybrid,1208,272,14029,4012,872,1952214,0.47971718325575247,78601764,72473308,676.496,1101,71925843,548566,1403648
s3-fifo-lazy-demotion-fast-admission-reprieve-compact-hybrid-0.1,13,hybrid,1233,288,13997,4130,930,1969074,0.47971718325575247,78601764,72473308,686.403,1072,71916272,558108,1410966
s3-fifo-lazy-demotion-fast-admission-reprieve-hybrid-0.1,13,hybrid,1217,280,13997,4031,886,1952327,0.4797171898749782,78601763,72473309,682.414,1093,71925574,548828,1403499
s3-fifo-lazy-demotion-fast-admission-split-slow-reprieve-compact-hybrid-0.1,13,hybrid,1239,284,14108,4142,922,1968993,0.47971718325575247,78601764,72473308,694.217,1086,71916571,557823,1411170
s3-fifo-lazy-demotion-fast-admission-split-slow-reprieve-hybrid-0.1,13,hybrid,1231,280,14233,4056,898,1952212,0.47971718325575247,78601764,72473308,686.926,1104,71925874,548538,1403674
s3-fifo-lazy-demotion-reprieve-compact-hybrid-0.1,13,hybrid,1565,276,21531,4454,983,1977281,0.4797173553556208,78601738,72473334,765.48,36265101,35688196,576905,1400376
